case,K,N,CFL,Log10_Rho_rms,Log10_Rhou_rms,Log10_e_rms,Log10_rho_max,Log10_rhou_max,Log10_e_max
"VAL_GK_LAX",100,2,1,-1.6940,-1.7100,-1.3187,-1.0860,-0.9336,-0.5293
"VAL_GK_LAX",200,2,1,-1.8886,-1.8803,-1.5281,-1.0018,-1.0153,-0.6571
"VAL_GK_LAX",400,2,1,-2.0386,-2.0249,-1.6991,-1.0079,-1.0142,-0.6100
"VAL_GK_LAX",800,2,1,-2.1846,-2.1704,-1.8929,-1.0077,-1.0006,-0.6018
"VAL_GK_LAX",1600,2,1,-2.3085,-2.2930,-2.0517,-1.0499,-0.9146,-0.5143
"VAL_GK_LAX",3200,2,1,-2.4084,-2.3891,-2.1819,-1.0392,-0.8851,-0.4842
"VAL_GK_LAX",6400,2,1,-2.5041,-2.5037,-2.3746,-1.0476,-0.9069,-0.5110
"VAL_GK_LAX",12800,2,1,-2.5914,-2.5896,-2.4650,-0.9885,-0.7930,-0.3921
"VAL_GK_LAX",100,3,1,-1.7387,-1.7422,-1.3620,-1.0262,-0.9226,-0.5248
"VAL_GK_LAX",200,3,1,-1.9353,-1.9241,-1.5648,-1.0212,-1.0387,-0.6374
"VAL_GK_LAX",400,3,1,-2.0749,-2.0619,-1.7511,-0.9866,-1.0150,-0.6141
"VAL_GK_LAX",800,3,1,-2.2212,-2.2085,-1.9418,-1.0159,-0.9721,-0.5715
"VAL_GK_LAX",1600,3,1,-2.3537,-2.3329,-2.1041,-1.0283,-0.9608,-0.5544
"VAL_GK_LAX",3200,3,1,-2.4490,-2.4215,-2.1956,-1.0189,-0.8415,-0.4427
"VAL_GK_LAX",6400,3,1,-2.5809,-2.5750,-2.4297,-1.0469,-0.9608,-0.5561
"VAL_GK_LAX",12800,3,1,-2.6689,-2.6634,-2.5378,-1.0516,-0.8957,-0.4944
